ndims,boundsA,boundsB,N,L,activation,num_points,use_sobol,batch_size,lr,lr_scheduler,epoch,time,train MSE_f,test MSE_f,test RMSE_u,lr
2,[0, 1],128,2,sin,10000,True,1024,0.1,ReduceLROnPlateau-0.5-2,463.92,30,5.306e-04,5.449e-04,3.424e-05,9.8e-05
2,[0, 1],128,2,sin,10000,True,2048,0.1,ExponentialLR-0.95,875.00,30,2.701e-03,2.711e-03,9.866e-05,3.4e-21
2,[0, 1],128,2,sin,10000,True,2048,0.1,ReduceLROnPlateau-0.1-10,875.20,30,3.110e-04,3.134e-04,3.103e-05,1.0e-08
2,[0, 1],128,2,sin,10000,True,2048,0.1,ReduceLROnPlateau-0.5-2,875.41,30,2.466e-04,2.455e-04,2.692e-05,1.2e-08
2,[0, 1],128,2,sin,10000,True,4096,0.1,ExponentialLR-0.95,1325.82,30,1.888e-02,1.857e-02,2.915e-04,3.0e-31
2,[0, 1],128,2,sin,10000,True,4096,0.1,ReduceLROnPlateau-0.1-10,1326.82,30,1.445e-03,1.018e-03,5.858e-05,1.0e-03
2,[0, 1],128,2,sin,10000,True,4096,0.1,ReduceLROnPlateau-0.5-2,1327.41,30,1.489e-03,6.795e-04,4.404e-05,1.6e-03
2,[0, 1],128,2,sin,100,False,2048,0.1,ReduceLROnPlateau-0.5-2,3328.00,30,4.438e-02,3.644e-01,1.890e-03,1.2e-08
2,[0, 1],128,2,sin,100,True,2048,0.1,ReduceLROnPlateau-0.5-2,3163.00,30,1.282e+00,2.074e+00,4.647e-03,1.2e-08
2,[0, 1],128,2,sin,1000,False,2048,0.1,ReduceLROnPlateau-0.5-2,3317.00,30,7.349e-03,8.154e-03,3.367e-04,3.9e-04
2,[0, 1],128,2,sin,1000,True,2048,0.1,ReduceLROnPlateau-0.5-2,3136.00,30,1.179e+00,1.201e+00,1.182e-02,1.2e-08
2,[0, 1],128,2,sin,10000,False,2048,0.1,ReduceLROnPlateau-0.5-2,876.20,30,7.218e-03,6.873e-03,1.365e-04,3.9e-04
2,[0, 1],128,2,sin,10000,True,2048,0.1,ReduceLROnPlateau-0.5-2,875.00,30,2.466e-04,2.455e-04,2.692e-05,1.2e-08
2,[0, 1],128,2,sin,100000,False,2048,0.1,ReduceLROnPlateau-0.5-2,89.18,30,4.717e-03,4.778e-03,2.388e-04,1.6e-03
