,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir,should_checkpoint
60,32.0,9.30786395072937,1208.6244390625,1203.2063,0.1766279780412863,0.0044655594838328,0.3890054225921631,False,,,35,7dfcee5b,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-07-29,1686845249,14.477614402770996,64306,ds28,192.168.3.128,10.400211572647097,0,22,0.0051391124725341,2,128,atan,448,0.0219,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7dfcee5b_61_L=2,N=128,activation=atan,batch_size=448,lr=0.0219,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-43-08",
61,32.0,3.1687819957733154,1209.271,1203.8636,0.1766869548928185,6.54296875e-06,1.486412763595581,False,,,32,12cf89c2,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-45,1686844965,5.649273872375488,64306,ds28,192.168.3.128,4.1137800216674805,0,12,0.0051391124725341,2,288,sin,12960,0.0067,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_12cf89c2_62_L=2,N=288,activation=sin,batch_size=12960,lr=0.0067,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-43-10",
62,55.0,9.174577951431274,1198.22775,1195.5618,0.1770241475847998,0.0048,0.3098123073577881,False,,,55,69ea4313,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-07-40,1686845260,15.996235609054564,64306,ds28,192.168.3.128,10.322745323181152,0,24,0.0051391124725341,2,128,tanh,4096,0.0048000000000000004,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_69ea4313_63_L=2,N=128,activation=tanh,batch_size=4096,lr=0.0048,lr_scheduler=None,num_points=10000_2023-06-15_18-43-11",
63,2.0,1.4579060077667236,1205.39139375,1217.6912,0.1776824950037614,0.014535,1.2167727947235107,False,,,2,e25743c7,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-15,1686843795,1.8433916568756104,64306,ds28,192.168.3.128,1.8433916568756104,0,2,0.0051391124725341,2,320,sigmoid,1088,0.0153,ExponentialLR-0.95,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_e25743c7_64_L=2,N=320,activation=sigmoid,batch_size=1088,lr=0.0153,lr_scheduler=ExponentialLR-0_95,num_points=100000_2023-06-15_18-43-13",
64,1.0,2.524819850921631,1205.356283,1208.299366,0.1769959558574505,0.006,2.999387264251709,False,,,1,19eede7b,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-18,1686843798,2.999387264251709,64306,ds28,192.168.3.128,2.999387264251709,0,1,0.0051391124725341,1,800,sin,15552,0.006,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_19eede7b_65_L=1,N=800,activation=sin,batch_size=15552,lr=0.0060,lr_scheduler=None,num_points=1000000_2023-06-15_18-43-15",True
65,1.0,1.6918449401855469,1205.4406446875,1217.69044,0.1776827105541865,0.0388,2.438643455505371,False,,,1,e5b17875,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-21,1686843801,2.438643455505371,64306,ds28,192.168.3.128,2.438643455505371,0,1,0.0051391124725341,4,480,sigmoid,544,0.03880000000000001,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_e5b17875_66_L=4,N=480,activation=sigmoid,batch_size=544,lr=0.0388,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-43-18",True
66,29.0,3.0462772846221924,1209.30170625,1203.8708,0.1766764531333954,7.200000000000002e-05,0.2200779914855957,False,,,29,c4b301a0,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-54,1686844974,4.309568881988525,64306,ds28,192.168.3.128,2.861496925354004,0,10,0.0051391124725341,1,160,sigmoid,1888,0.007200000000000001,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_c4b301a0_67_L=1,N=160,activation=sigmoid,batch_size=1888,lr=0.0072,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=1000_2023-06-15_18-43-21",
67,28.0,3.186973571777344,1209.3034109375,1203.8644,0.176677731341426,8.3203125e-05,0.1987912654876709,False,,,28,306835bf,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-58,1686844978,4.670690536499023,64306,ds28,192.168.3.128,3.1632843017578125,0,9,0.0051391124725341,2,96,sin,3296,0.0213,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_306835bf_68_L=2,N=96,activation=sin,batch_size=3296,lr=0.0213,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-43-23",
68,2.0,2.7121095657348637,587341453747.8145,3975810853214.6177,0.1768078183754097,0.7425,2.351829767227173,False,,,2,9d36d034,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-28,1686843808,3.2909862995147705,64306,ds28,192.168.3.128,3.2909862995147705,0,2,0.0051391124725341,2,128,sin,64,0.7425,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_9d36d034_69_L=2,N=128,activation=sin,batch_size=64,lr=0.7425,lr_scheduler=None,num_points=10000_2023-06-15_18-43-25",
69,9.0,3.2184746265411377,1209.3435390625,1203.873,0.1766775067920362,0.086,0.3248076438903808,False,,,9,9e55d370,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-03-01,1686844981,4.469985723495483,64306,ds28,192.168.3.128,2.77930212020874,0,5,0.0051391124725341,2,96,ELU,224,0.08600000000000001,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_9e55d370_70_L=2,N=96,activation=ELU,batch_size=224,lr=0.0860,lr_scheduler=None,num_points=10000_2023-06-15_18-43-28",
70,19.0,1.0346956253051758,1209.27805,1203.8989,0.1766920760013863,0.0029393859565908,0.629896879196167,False,,,19,845674fd,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-32,1686843812,1.6169235706329346,64306,ds28,192.168.3.128,1.6169235706329346,0,19,0.0051391124725341,2,96,sin,6560,0.0074,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_845674fd_71_L=2,N=96,activation=sin,batch_size=6560,lr=0.0074,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-43-30",
71,4.0,1.5492174625396729,1209.30645,1203.9302,0.1767178520092127,0.0655034499999999,2.949929714202881,False,,,4,98d738f0,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-40,1686843820,3.501523971557617,64306,ds28,192.168.3.128,3.501523971557617,0,4,0.0051391124725341,2,224,sigmoid,3968,0.07640000000000001,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_98d738f0_72_L=2,N=224,activation=sigmoid,batch_size=3968,lr=0.0764,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-43-36",
