,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir
56,300.04469084739685,1207.71935769786,1203.8966,0.1766924646123349,0.01,1.3657925128936768,False,,,305,93475_00056,78fa31bc357a439f941584a8d54f8660,2023-05-19_08-40-33,1684474833,300.8407912254333,43649,ds28,192.168.3.128,300.8407912254333,0,305,0.0072991847991943,2,1024,atan,64,0.01,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00056_56_L=2,N=1024,activation=atan,batch_size=64,lr=0.0100,lr_scheduler=None,num_points=10000_2023-05-19_08-35-33"
57,300.50454354286194,1205.34228515625,1217.75512,0.1777452246001677,7.18771061669021e-06,1.5462396144866943,False,,,187,93475_00057,78fa31bc357a439f941584a8d54f8660,2023-05-19_08-45-35,1684475135,301.27940034866333,43649,ds28,192.168.3.128,301.27940034866333,0,187,0.0072991847991943,3,1024,sigmoid,32768,0.1,ExponentialLR-0.95,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00057_57_L=3,N=1024,activation=sigmoid,batch_size=32768,lr=0.1000,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-05-19_08-40-33"
58,300.0154619216919,1209.288275,1203.8786,0.1766883021128326,7.618962020646601e-89,0.5633447170257568,False,,,3822,93475_00058,78fa31bc357a439f941584a8d54f8660,2023-05-19_08-50-35,1684475435,300.5503029823303,43649,ds28,192.168.3.128,300.5503029823303,0,3822,0.0072991847991943,1,2048,sin,2048,0.001,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00058_58_L=1,N=2048,activation=sin,batch_size=2048,lr=0.0010,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-05-19_08-45-35"
59,300.0088379383087,1194.5457763671875,1203.9808,0.1767601130720451,1.0000000000000004e-08,0.6270644664764404,False,,,1192,93475_00059,78fa31bc357a439f941584a8d54f8660,2023-05-19_08-55-36,1684475736,300.61615538597107,43649,ds28,192.168.3.128,300.61615538597107,0,1192,0.0072991847991943,3,128,sigmoid,256,0.1,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00059_59_L=3,N=128,activation=sigmoid,batch_size=256,lr=0.1000,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10_2023-05-19_08-50-35"
60,300.0037670135498,1210.30601875,1206.6654,0.1795142677183435,1.0,0.5718505382537842,False,,,3093,93475_00060,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-00-36,1684476036,300.4957785606384,43649,ds28,192.168.3.128,300.4957785606384,0,3093,0.0072991847991943,1,512,sigmoid,512,1.0,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00060_60_L=1,N=512,activation=sigmoid,batch_size=512,lr=1,lr_scheduler=None,num_points=10000_2023-05-19_08-55-36"
61,300.08794021606445,885494122.9022082,859580609.3312,103.19064880113896,1.4901161193847656e-08,3.0065176486968994,False,,,98,93475_00061,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-05-37,1684476337,300.6904411315918,43649,ds28,192.168.3.128,300.6904411315918,0,98,0.0072991847991943,4,128,ELU,256,1.0,ReduceLROnPlateau-0.5-2,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00061_61_L=4,N=128,activation=ELU,batch_size=256,lr=1,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000_2023-05-19_09-00-37"
62,300.1236319541931,1197.3671919308642,1209.91212,0.1772366709358254,1e-05,4.72412633895874,False,,,50,93475_00062,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-10-38,1684476638,300.6571276187897,43649,ds28,192.168.3.128,300.6571276187897,0,50,0.0072991847991943,4,256,ELU,128,0.001,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00062_62_L=4,N=256,activation=ELU,batch_size=128,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-05-19_09-05-37"
63,300.0027105808258,1209.36095,1203.8818,0.1766824899940789,1.0,0.8042819499969482,False,,,6636,93475_00063,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-15-39,1684476939,300.766526222229,43649,ds28,192.168.3.128,300.766526222229,0,6636,0.0072991847991943,3,128,ELU,2048,1.0,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00063_63_L=3,N=128,activation=ELU,batch_size=2048,lr=1,lr_scheduler=None,num_points=10000_2023-05-19_09-10-38"
64,307.9317970275879,1205.355789,1208.299651,0.1769960201699627,0.0005,52.448472023010254,False,,,6,93475_00064,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-20-48,1684477248,309.27987480163574,43649,ds28,192.168.3.128,309.27987480163574,0,6,0.0072991847991943,3,2048,sigmoid,16384,0.001,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00064_64_L=3,N=2048,activation=sigmoid,batch_size=16384,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=_2023-05-19_09-15-39"
65,300.76910877227783,1205.3559073982658,1208.299726,0.1769960890515685,1.0,3.14772891998291,False,,,93,93475_00065,78fa31bc357a439f941584a8d54f8660,2023-05-19_09-25-49,1684477549,301.32901668548584,43649,ds28,192.168.3.128,301.32901668548584,0,93,0.0072991847991943,2,256,atan,8192,1.0,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00065_65_L=2,N=256,activation=atan,batch_size=8192,lr=1,lr_scheduler=None,num_points=1000000_2023-05-19_09-20-48"
