,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir,should_checkpoint
256,1.0,17.466005563735962,398.1408562929688,408.6531725,0.0626609478566316,0.6489,17.543556451797485,True,,,1,54f239b9,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_16-27-34,1685712454,17.543556451797485,43442,ds28,192.168.3.128,17.543556451797485,0,1,0.0060193538665771,1,1600,sin,288,0.6489,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_54f239b9_257_L=1,N=1600,activation=sin,batch_size=288,lr=0.6489,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_16-27-17",
257,26.211968,1802.056768894196,76.12599238681332,79.9964743125,0.0263394927072588,0.0128861326193747,16.606647729873657,True,,,27,87ee0a07,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_16-57-37,1685714257,1803.3880877494807,43442,ds28,192.168.3.128,1803.3880877494807,0,27,0.0060193538665771,1,1888,sin,64,0.0489,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_87ee0a07_258_L=1,N=1888,activation=sin,batch_size=64,lr=0.0489,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_16-27-34",
258,51.207744,1801.9047346115112,44.23704479920298,44.76570996875,0.0182146511734434,0.0056065956235377,9.124347686767578,True,,,52,4030e984,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_17-27-41,1685716061,1803.3066236972809,43442,ds28,192.168.3.128,1803.3066236972809,0,52,0.0060193538665771,1,1792,sin,128,0.0767,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_4030e984_259_L=1,N=1792,activation=sin,batch_size=128,lr=0.0767,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_16-57-38",
259,1.0,68.00184226036072,387.9231377192383,390.6874875,0.0626534992175447,0.1546,68.09671139717102,True,,,1,511255e3,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_17-28-49,1685716129,68.09671139717102,43442,ds28,192.168.3.128,68.09671139717102,0,1,0.0060193538665771,1,1408,sin,64,0.15460000000000002,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_511255e3_260_L=1,N=1408,activation=sin,batch_size=64,lr=0.1546,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_17-27-41",
260,60.85328,1802.1430950164795,32.92773560960857,32.98169496875,0.015086510203399,0.0031097114316192,25.956732749938965,True,,,61,852166aa,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_17-58-53,1685717933,1803.563061952591,43442,ds28,192.168.3.128,1803.563061952591,0,61,0.0060193538665771,1,2016,sin,160,0.0675,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_852166aa_261_L=1,N=2016,activation=sin,batch_size=160,lr=0.0675,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_17-28-49",
261,50.940032,1801.91697883606,65.9728402260342,66.46591825,0.0229656164406254,0.0086563097186302,33.875240325927734,True,,,51,080a7ee0,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_18-28-56,1685719736,1803.463038921356,43442,ds28,192.168.3.128,1803.463038921356,0,51,0.0060193538665771,1,1792,sin,128,0.1125,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_080a7ee0_262_L=1,N=1792,activation=sin,batch_size=128,lr=0.1125,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_17-58-53",
262,60.20896,1802.151903629303,32.933145632313,33.36378128125,0.0152506804548948,0.0032617417682761,8.350071668624878,True,,,61,eeef1e83,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_18-59-00,1685721540,1803.6086218357088,43442,ds28,192.168.3.128,1803.6086218357088,0,61,0.0060193538665771,1,2016,sin,160,0.0708,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_eeef1e83_263_L=1,N=2016,activation=sin,batch_size=160,lr=0.0708,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_18-28-56",
263,50.759552,1801.8927755355835,39.86222572924515,39.2763751875,0.0167942940649754,0.0047398104770455,27.693878650665283,True,,,51,3b2edef6,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_19-29-03,1685723343,1803.62034034729,43442,ds28,192.168.3.128,1803.62034034729,0,51,0.0060193538665771,1,1760,sin,128,0.0616,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_3b2edef6_264_L=1,N=1760,activation=sin,batch_size=128,lr=0.0616,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_18-59-00",
264,4.0,101.20340085029602,330.5129029785156,323.93580625,0.0568258575918498,0.0377245,25.217511415481567,True,,,4,55c381a1,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_19-30-45,1685723445,101.36557579040527,43442,ds28,192.168.3.128,101.36557579040527,0,4,0.0060193538665771,1,1984,sin,192,0.044000000000000004,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_55c381a1_265_L=1,N=1984,activation=sin,batch_size=192,lr=0.0440,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_19-29-03",
265,1.0,29.76343560218811,387.1174078652344,388.83603725,0.0626346515520181,0.0209,29.84526014328003,True,,,1,c503e39f,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_19-31-15,1685723475,29.84526014328003,43442,ds28,192.168.3.128,29.84526014328003,0,1,0.0060193538665771,1,1728,sin,160,0.020900000000000002,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_c503e39f_266_L=1,N=1728,activation=sin,batch_size=160,lr=0.0209,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_19-30-45",
266,3.0,47.85448694229126,354.97041,347.62608225,0.0590350992897499,0.0532475,15.936813354492188,True,,,3,e76d6bd5,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_19-32-03,1685723523,47.94282126426697,43442,ds28,192.168.3.128,47.94282126426697,0,3,0.0060193538665771,1,1984,sin,384,0.059000000000000004,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_e76d6bd5_267_L=1,N=1984,activation=sin,batch_size=384,lr=0.0590,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_19-31-15",
267,91.362752,1801.9619505405424,44.61723906033125,45.33804178125,0.0183626397594329,0.0006162428887059,8.826223611831665,True,,,92,65da880f,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-02-06,1685725326,1803.5270473957064,43442,ds28,192.168.3.128,1803.5270473957064,0,92,0.0060193538665771,1,1824,sin,256,0.0656,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_65da880f_268_L=1,N=1824,activation=sin,batch_size=256,lr=0.0656,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_19-32-03",
268,1.0,17.74881672859192,386.97008330078125,387.9561235,0.0625616858674238,0.0339,17.842210292816162,True,,,1,93fad8af,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-02-24,1685725344,17.842210292816162,43442,ds28,192.168.3.128,17.842210292816162,0,1,0.0060193538665771,1,2048,sin,320,0.0339,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_93fad8af_269_L=1,N=2048,activation=sin,batch_size=320,lr=0.0339,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-02-06",
269,1.0,28.799808025360107,386.70777894335936,387.55529325,0.0625243536231282,0.0271,28.878045558929443,True,,,1,08d93b0f,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-02-53,1685725373,28.878045558929443,43442,ds28,192.168.3.128,28.878045558929443,0,1,0.0060193538665771,1,1600,sin,160,0.027100000000000003,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_08d93b0f_270_L=1,N=1600,activation=sin,batch_size=160,lr=0.0271,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-02-24",
270,1.0,21.784690856933597,387.2824475703125,390.24848775,0.0626309578321079,0.1977,21.864559412002563,True,,,1,3bdf534e,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-03-15,1685725395,21.864559412002563,43442,ds28,192.168.3.128,21.864559412002563,0,1,0.0060193538665771,1,1760,sin,224,0.19770000000000001,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_3bdf534e_271_L=1,N=1760,activation=sin,batch_size=224,lr=0.1977,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-02-53",
271,70.445056,1802.1598455905917,45.761735835499145,46.46107703125,0.0186889957352475,0.0013874596289697,12.98195743560791,True,,,71,97cd379c,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-33-19,1685727199,1803.6428706645968,43442,ds28,192.168.3.128,1803.6428706645968,0,71,0.0060193538665771,1,2048,sin,192,0.050300000000000004,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_97cd379c_272_L=1,N=2048,activation=sin,batch_size=192,lr=0.0503,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-03-15",
272,3.0,36.60898208618164,337.6469348203125,323.97672275,0.0568526621789901,0.095665,12.18038535118103,True,,,3,ac1bc575,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_20-33-55,1685727235,36.68137001991272,43442,ds28,192.168.3.128,36.68137001991272,0,3,0.0060193538665771,1,1312,sin,448,0.10600000000000001,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_ac1bc575_273_L=1,N=1312,activation=sin,batch_size=448,lr=0.1060,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-33-19",
273,61.9256,1803.0347118377688,38.41903185713363,38.52209290625,0.016544043841777,0.0033524992722804,28.836360216140747,True,,,62,15268ce8,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-04-00,1685729040,1804.6293053627012,43442,ds28,192.168.3.128,1804.6293053627012,0,62,0.0060193538665771,1,1632,sin,160,0.0766,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_15268ce8_274_L=1,N=1632,activation=sin,batch_size=160,lr=0.0766,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_20-33-55",
274,1.0,35.86393880844116,387.1483910957031,389.1565995,0.062659909536745,0.0068,35.95035934448242,True,,,1,6690c84c,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-04-36,1685729076,35.95035934448242,43442,ds28,192.168.3.128,35.95035934448242,0,1,0.0060193538665771,1,1888,sin,128,0.0068000000000000005,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_6690c84c_275_L=1,N=1888,activation=sin,batch_size=128,lr=0.0068,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_21-04-00",
275,1.0,28.49323344230652,386.4534872714844,387.897092,0.0624845630960573,0.1362,28.568435668945312,True,,,1,bad885c7,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-05-04,1685729104,28.568435668945312,43442,ds28,192.168.3.128,28.568435668945312,0,1,0.0060193538665771,1,1184,sin,160,0.13620000000000002,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_bad885c7_276_L=1,N=1184,activation=sin,batch_size=160,lr=0.1362,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_21-04-36",
276,1.0,15.081785202026367,387.14860725,389.15666425,0.0626599250609884,0.0366,15.159559726715088,True,,,1,72743d6c,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-05-20,1685729120,15.159559726715088,43442,ds28,192.168.3.128,15.159559726715088,0,1,0.0060193538665771,1,1408,atan,608,0.0366,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_72743d6c_277_L=1,N=1408,activation=atan,batch_size=608,lr=0.0366,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-06-02_21-05-04",
277,1.0,15.19241213798523,387.1487256875,389.1565575,0.0626598973608652,0.0181,15.27143669128418,True,,,1,9b02eb55,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-05-35,1685729135,15.27143669128418,43442,ds28,192.168.3.128,15.27143669128418,0,1,0.0060193538665771,1,1568,sin,352,0.0181,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_9b02eb55_278_L=1,N=1568,activation=sin,batch_size=352,lr=0.0181,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-02_21-05-20",
278,1.0,17.552608013153076,387.147970796875,389.15660075,0.0626599094454259,0.0223,17.55406928062439,True,,,1,69ba91ea,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-05-52,1685729152,17.55406928062439,43442,ds28,192.168.3.128,17.55406928062439,0,1,0.0060193538665771,1,128,ELU,256,0.0223,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_69ba91ea_279_L=1,N=128,activation=ELU,batch_size=256,lr=0.0223,lr_scheduler=None,num_points=1000000_2023-06-02_21-05-35",
279,1.0,1308.934696674347,401.5488925085156,418.0721374775,0.0625078346240006,0.2765,1309.492169380188,True,,,1,b2713db4,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-02_21-27-42,1685730462,1309.492169380188,43442,ds28,192.168.3.128,1309.492169380188,0,1,0.0060193538665771,1,1664,sin,480,0.2765,ExponentialLR-0.95,100000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_b2713db4_280_L=1,N=1664,activation=sin,batch_size=480,lr=0.2765,lr_scheduler=ExponentialLR-0_95,num_points=100000000_2023-06-02_21-05-52",True
